ナイスチャレンジです。	encourage: 星集め差分の和にも挑戦したのですが分かりませんでした。
複雑な問題は、細かく分けて解いてみてください。	encourage: だんだんとプログラミングの内容が複雑になってきて考えるのに苦労します。
アルゴリズムは難しいので、とりあえず1問というように少しずつ取り組んでみてください。	encourage: アルゴリズムに入ってから問題が難しくなりAtCoderに取り組むのに腰が重たくなってきました。
第9回は難しいので、大丈夫ですよ。	encourage: 第9回の問題がCが多くて苦戦し時間がかかってしまいました。
1問ずつの積み重ねが大事ですよ	encourage: 教わってようやく1問、という感じです。
積み重ねていけば、スピードも速くなっていきますよ。	encourage: 一つ一つにかける時間が増えてきてしまいあまり進めることが出来ないので最終どのくらい終わらせられることが出来るのか不安です。
アルゴリズムは難しいので、ゆっくり取り組んでみてくださいね。	encourage: ・アルゴリズムになってからすごく問題が難しくなってきたと感じます。
アルゴリズムは難しいので、ゆっくり考えてみてください。	encourage: アルゴリズム難しいです。
そういう時は、いろいろなコードを参考にしてみてください。	encourage: 分からなくて他の人のコード参考にしようと思っても全然理解できなくてやばいって思ってます。
関数は難しいので、ゆっくり考えてみてください。	encourage: ほかの中間試験が一通り終わったのでこの授業も本腰入れておこうと思います関数が入ってから全然進みますん。
自分のペースで頑張っていきましょう！	encourage: メンタルがやられそうですが頑張ります。
そんな時は、一旦前に戻って復習してみてはいかがですか？	encourage: かなり難しかったですあきらめました。
ゆっくり取り組めば、大丈夫です！	encourage: 正直ここら辺からついていけるか心配です。
やってみたらできるかもしれませんよ、チャレンジしてみてください。	encourage: すごく難しそうです。
難しく感じたら、少し昔に戻って復習してみてください。	encourage: だんだん授業の解説時間が長くなっていき難しくなってきたなと思っております。
そんな時は、昔の問題に戻ってみてはいかがですか？	encourage: 今日もAtCoderをやりましたがほとんど手詰まり状態でした。
アルゴリズムは、難しいのでゆっくり向き合ってみてください。	encourage: アルゴリズムになってからの演習問題はほぼ手が付けられなくて今まで飛ばしていた問題を解いていたのですがそれも難しくて思うように進みませんでした。
アルゴリズムは難しいので、時間をあけて再度取り組んでみてください。	encourage: アルゴリズムが本当に難しいです。
毎日少しでも取り組んでみてください。	encourage: 全然AtCoder進んでないです。
長いときは、細かく分けてやってみてください。	encourage: プログラミングが長く複雑になってきていて大変だと感じました。
コツコツ続けていけば、いつか進む時が来ますよ。	encourage: 今週も中々進まなくて辛いです、。
自分のペースで落ち着いてやっていきましょう。	encourage: 後半に入ってやってる人とやってない人で差ができていてやばいなと思いました。
大丈夫ですよ、落ち着いて考えてみてください。	encourage: 難しいです
そんなときには、一旦前に戻って考えてみてください。	encourage: 内容が難しくなって思うように進まなくなった。
夏バテには、睡眠、運動、食事ですよ！	encourage: 暑くなってから夏バテ気味であまりやる気がなくなった。
細かく取り組んでいきましょう。	encourage: 一周間で10問ペースと考えると参ってしまいます。
コツコツ進めていきましょう。	encourage: 全然遅れが巻き返せないです。
大丈夫ですよ、自分のペースで進めてみてください。	encourage: もう150問終わった人がいると知りへこみました。
今回の範囲は難しかったので、復習してみてください。	encourage: 今回の範囲は難しく進まなかった。
ペースが落ちても少しずつ進めていきましょう。	encourage: 段々難しくなっていくのと他の科目の期末が近づいてきたことも重なり自分のペースが落ちていることに焦りを感じます。
そんな時は、一回前に戻ってみてください。	encourage: やばいやばいと思いつつ全然進めない自分が嫌になります難しくて何から手を付けていいかわかりませんあと三回なので最後まで頑張っていきたいと思います。
焦らず、ゆっくり取り組んでみてください。	encourage: 別の話になってしまうのですが後期の計算機数学は対面でやりますか?あと残り3回と知って焦っています。
やる気がなくなったときには、一旦甘いものなどをとって休んでみては？	encourage: python進めるやる気が出なくなったのですがそろそろテストも終わりまた期末が来てしまうので今のうちに頑張らなくてはならないなと思います。
難易度が上がったので、自分のペースで進めていってください。	encourage: 初めのころと比べて問題が難しくなっていき進みが遅くなったことを実感しています。
ゆっくり自分のペースで進めていきましょう。	encourage: コンテンツのところに基準を示したものをあげて頂けませんか?今回も難しくなかなか進みませんでした。
81もケーキとドーナッツも難しいので取り組んでいってえらいです！	encourage: 特に「81」と「ケーキとドーナッツ」の問題がなかなかうまくいかず悩みました
いいことですね、ゆっくり焦らずやっていきましょう。	encourage: なかなかアルゴリズムになってから思うように進まないのですがゆっくり焦らずやろうと思いました。
とりあえず取り組んでみましょう！	encourage: ラストスパートなのに先週に引き続きやる気が起きなくて危機を感じてます。
ゆっくり考えれば大丈夫です！	encourage: 次回以降も解けるか不安。
悔しいという思いはいいことですね。ゆっくり解いていきましょう。	encourage: Pythonもなかなか答えにたどり着けなくなってきて悔しいです。
大丈夫ですよ、ゆっくり進んでいきましょう。	encourage: もうだんだん追いつけてません。
そんな時はわからないところに戻って考えてみてください。	encourage: 数回前の授業から既に授業きついていけていませんでした。
大丈夫ですよ、落ち着いて考えてみてください。	encourage: 演習問題も2問目で早速つまづいてしまいこれが”挫折”か......と悟った。
一旦、他のことに取り組んでみるのも良いですよ。	encourage: 頑張ればA、A+は必ず取れるので明確な基準設けてくれるのありがたいと思いましたA+取れるように頑張ります12回以降は難しすぎてやる気が出ません
質問をすることも良いですよね。	encourage: 焦りしかない今回の授業のブレイクアウトルームで個別にメッセージしてもらえそこから質問できたのでつまづいていたところをクリアできた。
そういう時は一旦他のことに取り組んでみるのも良いですよ。	encourage: 急に難しくなってきて全然理解できなくて落ち込みました。
ゆっくり進めれば意外と進んでいるものです。	encourage: どこまで進められるか心配です。
簡単に見えても最初は難しいものです。	encourage: AtCoderの難易度にあわせたカウントがでましたがAは本来であれば0.2ということでAでも何回も間違えているので軽くショックを受けました。
大丈夫ですよ、計算機数学Ⅱもできるようになりますよ。	encourage: 教職のために計算機数学IIも履修するつもりでいますが不安です。
アルゴリズムは難しいので、ゆっくり考えてみてください。	encourage: アルゴリズムから難しくなかなか進まないです...。
大丈夫ですよ、取り組み続ければだんだん短くできるようになりますよ。	encourage: 自分で考えたプログラミングが間違っていて他の方の回答をみてみるとそんなに簡単にできるのか!と思うほど短くやっていて自分は全然分かってないと落ち込みました。
アルゴリズムは難しいので、ゆっくり考えてみてください。	encourage: アルゴリズムに入ってから授業内容に追いつけていないので焦っています。
そうですね、12回目は少し難しいのでゆっくり読んでみてください。	encourage: 12回目難しいです。
大丈夫ですよ、少しずつ取り組めば達成できますよ。	encourage: とりあえず150問頑張ろうと思っていたのですが「無理では...」と思えてきました。
一旦、他のことに取り組んでみるのも良いですよ。	encourage: 頭の中がごちゃごちゃになってものすごく時間がかかってしまいました
累積和や全探索は難しいですよね、落ち着いて考えてみてください。	encourage: 累積和とか全探索とかがまだあまり理解できず解けない問題がごろごろと出てきてしまっています
大丈夫ですよ、少しずつ取り組んでみてください。	encourage: あまり進められてないので焦ってます。
大丈夫ですよ、少しずつ取り組んでみてください。	encourage: 問題番号は70番くらいまで進んでるけど解けた数だと58問ということがわかったのでちょっと焦ってきました。
落ち着いて少しずつ取り組んでみてください。	encourage: 進んでいなくてかなりまずいです。
お疲れ様です。甘いものでリフレッシュも良いですよ。	encourage: 正直とても難しかった。
取り組んでいて良いですね。また、時間をおいて考えてみてください。	encourage: レポート問題考えましたが難しかったです。
落ち着いて問題に取り組んでみましょう。	encourage: まだなんとかなると信じてます...ちょっとした打ち間違えや問題の読み取りミスが多くて参りました。
他の人に聞いてみることも良いですよ。	encourage: すごく難しくなってきて困ってます。
一旦他のことをやることもいいですよね。	encourage: チャレンジ問題授業内で少しやろうかと思ったのですが難しくて一度断念。
大丈夫です。書けますよ！	encourage: でも書ける気がしません。
焦らず、取り組んでみてください。	encourage: レポート課題にも挑戦してみようとおもいます!授業の内容が難しくなり焦っています。
使っていけば、理解できるようになる日が来ますよ。	encourage: テストが落ち着いたらレポートにも取り組みます深さと幅優先探索がどんなものかはなんとなく理解できましたが果たしてこのコードを理解し更にかけるようになる日は来るのかと感じました。
焦らずできるところから取り組んでみてください。	encourage: どんどん内容が難しくなっていてまた課題の正解数がとても少ないので焦っています。
ゆっくり見直してみてください。	encourage: 先週と今週の講義はとても難しくてまだしっかりと理解できてません...。
一旦、気持ちを入れ替えてみてはいかがですか？	encourage: 難しくほとんどすすめることができませんでした。
ゆっくり考えながら取り組めば大丈夫ですよ。	encourage: がんばります...どんどん難しくなって進みもとても遅くなってます。
お疲れ様です。	encourage: 難しかったです。
もう少しです！頑張りましょう！	encourage: 終わりに近づいてきてさらに難しくなったと思います。
時間をおいてまた取り組んでみてはいかがですか？	encourage: 文字列圧縮と1時間くらい格闘しましたが負けました悔しいです!!!!!!前の部分を進めました。
大丈夫です。自分のペースで頑張りましょう。	encourage: 最近追いつけていなくて焦っています。
