Hagemashi: 星集め差分の和にも挑戦したのですが分かりませんでした。	ナイスチャレンジです。
Hagemashi: 最初の4問だけ解けましたがそれ以降は本当に難しくて歯が立ちませんでした。	そんな時は、一旦昔の問題を解いてみてはいかがですか？
Hagemashi: アルゴリズムはやっぱり難しいです。	アルゴリズムは難しいので、ゆっくり取り組んでみてくださいね。
Hagemashi: c問題はやることが多くて大変です	やることが多い時は細かく分けて考えてみてください。
Hagemashi: かなり遅れているので不安ですが頑張ります。	自分のペースで落ち着いてやっていきましょう。
Hagemashi: スマホ中毒を頑張って考えていたのですが考えるべき例外が多すぎて挫折しました。	一旦時間をおいてまた考えてみてください！
Hagemashi: 最近1問解くのに時間がかかってなかなか進みません。	粘り強く取り組めば、だんだん速くなりますよ。
Hagemashi: 時間を見つけて楽しく解いてはいますが目標のACの数に届くか心配になってきました。	楽しく解くことが一番なので、そのままコツコツ続けていきましょう！
Hagemashi: 簡単な並び替えなら簡単だが複雑になるとわからなくなる。	並び替えは難しいので、細かく分けて考えてみてください。
Hagemashi: 毎日AtCoderをやる習慣がせっかくついたのにくじけそうです。	くじけず、一日1問でも取り組んでみてください。
Hagemashi: 先週先々週に引き続き全然進んでなくてより腰が重くなっています。	そんな時は、一旦昔の問題に取り組んでみてはいかがですか？
Hagemashi: どうしても思いつかず他の人が解答したプログラムを見てprintで途中を表示しながらこういう流れだと理解することが増えていて自分の力になっているのかが不安です。	内容を理解することで自分の力にしていくことができますよ。
Hagemashi: 週に解くスピードもやる気も落ちてきてしまっているのが最近の悩みです。	そんな時は、一休みしてみてはいかがですか？
Hagemashi: どうすればまたやる気になれるのでしょうか。	一旦、他のことに取り組んでみるのもオススメですよ。
Hagemashi: だんだんとプログラミングの内容が複雑になってきて考えるのに苦労します。	複雑な問題は、細かく分けて解いてみてください。
Hagemashi: アルゴリズムに入ってから問題が難しくなりAtCoderに取り組むのに腰が重たくなってきました。	アルゴリズムは難しいので、とりあえず1問というように少しずつ取り組んでみてください。
Hagemashi: 第9回の問題がCが多くて苦戦し時間がかかってしまいました。	第9回は難しいので、大丈夫ですよ。
Hagemashi: 教わってようやく1問、という感じです。	1問ずつの積み重ねが大事ですよ
Hagemashi: 一つ一つにかける時間が増えてきてしまいあまり進めることが出来ないので最終どのくらい終わらせられることが出来るのか不安です。	積み重ねていけば、スピードも速くなっていきますよ。
Hagemashi: ・アルゴリズムになってからすごく問題が難しくなってきたと感じます。	アルゴリズムは難しいので、ゆっくり取り組んでみてくださいね。
Hagemashi: アルゴリズム難しいです。	アルゴリズムは難しいので、ゆっくり考えてみてください。
Hagemashi: 分からなくて他の人のコード参考にしようと思っても全然理解できなくてやばいって思ってます。	そういう時は、いろいろなコードを参考にしてみてください。
Hagemashi: ほかの中間試験が一通り終わったのでこの授業も本腰入れておこうと思います関数が入ってから全然進みますん。	関数は難しいので、ゆっくり考えてみてください。
Hagemashi: メンタルがやられそうですが頑張ります。	自分のペースで頑張っていきましょう！
Hagemashi: かなり難しかったですあきらめました。	そんな時は、一旦前に戻って復習してみてはいかがですか？
Hagemashi: 正直ここら辺からついていけるか心配です。	ゆっくり取り組めば、大丈夫です！
Hagemashi: すごく難しそうです。	やってみたらできるかもしれませんよ、チャレンジしてみてください。
Hagemashi: だんだん授業の解説時間が長くなっていき難しくなってきたなと思っております。	難しく感じたら、少し昔に戻って復習してみてください。
Hagemashi: 今日もAtCoderをやりましたがほとんど手詰まり状態でした。	そんな時は、昔の問題に戻ってみてはいかがですか？
Hagemashi: アルゴリズムになってからの演習問題はほぼ手が付けられなくて今まで飛ばしていた問題を解いていたのですがそれも難しくて思うように進みませんでした。	アルゴリズムは、難しいのでゆっくり向き合ってみてください。
Hagemashi: アルゴリズムが本当に難しいです。	アルゴリズムは難しいので、時間をあけて再度取り組んでみてください。
Hagemashi: 全然AtCoder進んでないです。	毎日少しでも取り組んでみてください。
Hagemashi: プログラミングが長く複雑になってきていて大変だと感じました。	長いときは、細かく分けてやってみてください。
Hagemashi: 今週も中々進まなくて辛いです、。	コツコツ続けていけば、いつか進む時が来ますよ。
Hagemashi: 後半に入ってやってる人とやってない人で差ができていてやばいなと思いました。	自分のペースで落ち着いてやっていきましょう。
Hagemashi: 難しいです	大丈夫ですよ、落ち着いて考えてみてください。
Hagemashi: 内容が難しくなって思うように進まなくなった。	そんなときには、一旦前に戻って考えてみてください。
Hagemashi: 暑くなってから夏バテ気味であまりやる気がなくなった。	夏バテには、睡眠、運動、食事ですよ！
Hagemashi: 一周間で10問ペースと考えると参ってしまいます。	細かく取り組んでいきましょう。
Hagemashi: 全然遅れが巻き返せないです。	コツコツ進めていきましょう。
Hagemashi: もう150問終わった人がいると知りへこみました。	大丈夫ですよ、自分のペースで進めてみてください。
Hagemashi: 今回の範囲は難しく進まなかった。	今回の範囲は難しかったので、復習してみてください。
Hagemashi: 段々難しくなっていくのと他の科目の期末が近づいてきたことも重なり自分のペースが落ちていることに焦りを感じます。	ペースが落ちても少しずつ進めていきましょう。
Hagemashi: やばいやばいと思いつつ全然進めない自分が嫌になります難しくて何から手を付けていいかわかりませんあと三回なので最後まで頑張っていきたいと思います。	そんな時は、一回前に戻ってみてください。
Hagemashi: 別の話になってしまうのですが後期の計算機数学は対面でやりますか?あと残り3回と知って焦っています。	焦らず、ゆっくり取り組んでみてください。
Hagemashi: python進めるやる気が出なくなったのですがそろそろテストも終わりまた期末が来てしまうので今のうちに頑張らなくてはならないなと思います。	やる気がなくなったときには、一旦甘いものなどをとって休んでみては？
Hagemashi: 初めのころと比べて問題が難しくなっていき進みが遅くなったことを実感しています。	難易度が上がったので、自分のペースで進めていってください。
Hagemashi: コンテンツのところに基準を示したものをあげて頂けませんか?今回も難しくなかなか進みませんでした。	ゆっくり自分のペースで進めていきましょう。
Hagemashi: 特に「81」と「ケーキとドーナッツ」の問題がなかなかうまくいかず悩みました	81もケーキとドーナッツも難しいので取り組んでいってえらいです！
Hagemashi: なかなかアルゴリズムになってから思うように進まないのですがゆっくり焦らずやろうと思いました。	いいことですね、ゆっくり焦らずやっていきましょう。
Hagemashi: ラストスパートなのに先週に引き続きやる気が起きなくて危機を感じてます。	とりあえず取り組んでみましょう！
Hagemashi: 次回以降も解けるか不安。	ゆっくり考えれば大丈夫です！
Hagemashi: Pythonもなかなか答えにたどり着けなくなってきて悔しいです。	悔しいという思いはいいことですね。ゆっくり解いていきましょう。
Hagemashi: もうだんだん追いつけてません。	大丈夫ですよ、ゆっくり進んでいきましょう。
Hagemashi: 数回前の授業から既に授業きついていけていませんでした。	そんな時はわからないところに戻って考えてみてください。
Hagemashi: 演習問題も2問目で早速つまづいてしまいこれが”挫折”か......と悟った。	大丈夫ですよ、落ち着いて考えてみてください。
Hagemashi: 頑張ればA、A+は必ず取れるので明確な基準設けてくれるのありがたいと思いましたA+取れるように頑張ります12回以降は難しすぎてやる気が出ません	一旦、他のことに取り組んでみるのも良いですよ。
Hagemashi: 焦りしかない今回の授業のブレイクアウトルームで個別にメッセージしてもらえそこから質問できたのでつまづいていたところをクリアできた。	質問をすることも良いですよね。
Hagemashi: 急に難しくなってきて全然理解できなくて落ち込みました。	そういう時は一旦他のことに取り組んでみるのも良いですよ。
Hagemashi: どこまで進められるか心配です。	ゆっくり進めれば意外と進んでいるものです。
Hagemashi: AtCoderの難易度にあわせたカウントがでましたがAは本来であれば0.2ということでAでも何回も間違えているので軽くショックを受けました。	簡単に見えても最初は難しいものです。
Hagemashi: 教職のために計算機数学IIも履修するつもりでいますが不安です。	大丈夫ですよ、計算機数学Ⅱもできるようになりますよ。
Hagemashi: アルゴリズムから難しくなかなか進まないです...。	アルゴリズムは難しいので、ゆっくり考えてみてください。
Hagemashi: 自分で考えたプログラミングが間違っていて他の方の回答をみてみるとそんなに簡単にできるのか!と思うほど短くやっていて自分は全然分かってないと落ち込みました。	大丈夫ですよ、取り組み続ければだんだん短くできるようになりますよ。
Hagemashi: アルゴリズムに入ってから授業内容に追いつけていないので焦っています。	アルゴリズムは難しいので、ゆっくり考えてみてください。
Hagemashi: 12回目難しいです。	そうですね、12回目は少し難しいのでゆっくり読んでみてください。
Hagemashi: とりあえず150問頑張ろうと思っていたのですが「無理では...」と思えてきました。	大丈夫ですよ、少しずつ取り組めば達成できますよ。
Hagemashi: 頭の中がごちゃごちゃになってものすごく時間がかかってしまいました	一旦、他のことに取り組んでみるのも良いですよ。
Hagemashi: 累積和とか全探索とかがまだあまり理解できず解けない問題がごろごろと出てきてしまっています	累積和や全探索は難しいですよね、落ち着いて考えてみてください。
Hagemashi: あまり進められてないので焦ってます。	大丈夫ですよ、少しずつ取り組んでみてください。
Hagemashi: 問題番号は70番くらいまで進んでるけど解けた数だと58問ということがわかったのでちょっと焦ってきました。	大丈夫ですよ、少しずつ取り組んでみてください。
Hagemashi: 進んでいなくてかなりまずいです。	落ち着いて少しずつ取り組んでみてください。
Hagemashi: 正直とても難しかった。	お疲れ様です。甘いものでリフレッシュも良いですよ。
Hagemashi: レポート問題考えましたが難しかったです。	取り組んでいて良いですね。また、時間をおいて考えてみてください。
Hagemashi: まだなんとかなると信じてます...ちょっとした打ち間違えや問題の読み取りミスが多くて参りました。	落ち着いて問題に取り組んでみましょう。
Hagemashi: すごく難しくなってきて困ってます。	他の人に聞いてみることも良いですよ。
Hagemashi: チャレンジ問題授業内で少しやろうかと思ったのですが難しくて一度断念。	一旦他のことをやることもいいですよね。
Hagemashi: でも書ける気がしません。	大丈夫です。書けますよ！
Hagemashi: レポート課題にも挑戦してみようとおもいます!授業の内容が難しくなり焦っています。	焦らず、取り組んでみてください。
Hagemashi: テストが落ち着いたらレポートにも取り組みます深さと幅優先探索がどんなものかはなんとなく理解できましたが果たしてこのコードを理解し更にかけるようになる日は来るのかと感じました。	使っていけば、理解できるようになる日が来ますよ。
Hagemashi: どんどん内容が難しくなっていてまた課題の正解数がとても少ないので焦っています。	焦らずできるところから取り組んでみてください。
Hagemashi: 先週と今週の講義はとても難しくてまだしっかりと理解できてません...。	ゆっくり見直してみてください。
Hagemashi: 難しくほとんどすすめることができませんでした。	一旦、気持ちを入れ替えてみてはいかがですか？
Hagemashi: がんばります...どんどん難しくなって進みもとても遅くなってます。	ゆっくり考えながら取り組めば大丈夫ですよ。
Hagemashi: 難しかったです。	お疲れ様です。
Hagemashi: 終わりに近づいてきてさらに難しくなったと思います。	もう少しです！頑張りましょう！
Hagemashi: 文字列圧縮と1時間くらい格闘しましたが負けました悔しいです!!!!!!前の部分を進めました。	時間をおいてまた取り組んでみてはいかがですか？
Hagemashi: 最近追いつけていなくて焦っています。	大丈夫です。自分のペースで頑張りましょう。
