talk: [|チャレンジ問題にも]挑戦したのですが分かりません[|でした]。	時間をおくとできるかもしれません。とりあえず次の問題に進もう！
talk: メンタルがやられそうです[|が頑張ります]。	プログラミングでメンタルやられないで、相談乗るよ
talk: かなり難し[い|かった[|です]]あきらめました。	1週間後には突然解けるようになっているかも
talk: 正直[|ここら辺から]ついていけるか心配[|です。]	まず例題をしっかり理解することを目指そう！
talk: すごく難しそう[...|です。]	練習して慣れるのみです！
talk: [だんだん|]授業の解説時間が長くなっていき難しくなってきたな。	解説時間短くしてもらおうか？
talk: 今日も[|AtCoderを]やりましたがほとんど手詰まり[|状態でした]。	友だちやコギーを頼りながら、少しでも進められるようになろう！
talk: 今まで飛ばしていた問題を解いていたのですがそれも難し[い|くて思うように進みませんでした]。	あら、解けている友だちがいたらヒントをもらうといいかもね！
talk: アルゴリズムが本当に難しい[|です]。	わかります。一つでも理解できれば上出来
talk: 全然[|AtCoder]進んでない[|です]。	就活にも役立つし、やっておいて損はしない！
talk: プログラミングが長く複雑になってきていて大変だ[|と感じ[|まし]た]。	長いと厄介だよね、短くかけるところがないか探してみてもいいかも！
talk: 今週も[中々|なかなか]進まなくて辛い[|です]。	辛いのは頑張っている証拠！力はついてきていますよ！
talk: [|[|後半に入って]やってる人とやってない人で]差ができていてやばい[|なと思いました]。	継続していくことが大切です
talk: 難しい[|です]	やるしかない
talk: 内容が難しくなって思うように進まなくなった。	みんな一緒です、やれる問題からやっていこう！
talk: 暑くなってから夏バテ気味であまりやる気がなくなった。	今すぐどこかに避暑しましょう
talk: 一週間で10問ペースと考えると参ってしまいます。	1日1問とどっちがいい？
talk: 全然遅れが巻き返せない[|です]。	友だちと勉強会を企画しよう
talk: もう150問終わった人がいると知り[へこんだ|へこみました]。	その人がすごすぎるだけです
talk: 今回の範囲は難しく進まなかった。	まず1問！
talk: 自分のペースが落ちていることに焦りを感じます。	単元が進んで難しくなれば、ペースが落ちるのは当たり前です。諦めずに進めよう！
talk: やばいやばいと思いつつ全然進めない自分が嫌になります	パソコン開いたついでにコギーに会いにおいで
talk: [|難しくて]何から手を付けていいかわかりません。	まず例題の理解から！
talk: あと残り3回と知って焦っています。	3回もあるよ？ポジティブにいこう
talk: また期末が来てしまうので今のうちに頑張らなくてはならないな[と思[う|います]]。	終わりは必ずきます
talk: 初めのころと比べて問題が難しくなっていき進みが遅くなったことを実感しています。	難しくなったならそれは仕方ない！週に数問は取り組めたらいいね！
talk: コンテンツのところに基準を示したものをあげて頂けませんか?今回も難しくなかなか進みませんでした。	みんな難しいって言っているよ！
talk: 問題がなかなかうまくいかず悩みました	悩むのも一つの勉強です
talk: なかなかアルゴリズムになってから思うように進まない。	完璧に書けるようになるには結構時間かかります、頑張って！
talk: [|ラストスパートなのに]先週に引き続きやる気が起きなくて危機を感じてます。	もうすぐ休みだと思って頑張ろう！
talk: 次回以降も解けるか不安。	不安になることはないけど、じゃんじゃん解いていこう！
talk: [|Pythonも]なかなか答えにたどり着けなくなってきて悔しい[|です]。	悔しさをバネにして、ぜひ答えを見つけてください
talk: もうだんだん追いつけてません。	自分で無理のない目標を決めるといいかもね！
talk: 数回前の授業から既に授業きついていけていませんでした。	ぜひ復習を！
talk: [|2問目で早速つまづいてしまい]これが”挫折”か......と悟った。	これからもプログラミングは必要になってくるので、挫折せず頑張って！
talk: 頑張ればA、A+は必ず取れるので明確な基準設けてくれるのありがたいと思いました	そうです、目指せA+
talk: 12回以降は難しすぎてやる気が出ません	難しいのは仕方ない！そういうものだと割り切って勉強するんだ
talk: 焦りしかない今回の授業のブレイクアウトルームで個別にメッセージしてもらえそこから質問できたのでつまづいていたところをクリアできた。	人を頼るって大事
talk: 急に難しくなってきて全然理解できなくて落ち込みました。	落ち込まないで！落ち着いて考えてみよう！
talk: どこまで進められるか心配です。	自分で目標を決めてみるのもいいかも！
talk: AtCoderの難易度にあわせたカウントがでましたがAは本来であれば0.2ということでAでも何回も間違えているので軽くショックを受けました。	誰にでも間違いはあるし得意不得意はあります！自分なりに頑張ってみよう！
talk: 教職のために後期も履修するつもりでいますが不安です。	プログラミングできると今後絶対いいことあるよ！
talk: アルゴリズムから難しくなかなか進まないです...。	アルゴリズムは少しずつしか進まなくてもしかたない！続けることが大切です！
talk: 自分は全然分かってないと落ち込みました。	最初から完璧にわかる必要なんてないよ！友だちと確かめ合ってみてもいいかもね
talk: 他の方の回答をみてみるとそんなに簡単にできるのか!と思う。	そうやって他の人の回答を見るのも一つの勉強です！
talk: アルゴリズムに入ってから授業内容に追いつけてい[ない|ません]。	授業外の時間で復習してみよう！
talk: 12回目難しい[|です]。	終盤だから仕方ない！どんどんチャレンジしていって！
talk: [|頑張ろうと思っていたのですが]「無理では...」と思えてき[|まし]た。	気のせい気のせい
talk: [|頭の中がごちゃごちゃになって][|もの]すごく時間がかかっ[てしまいまし|]た	紙とペンで整理してみよう！
talk: 解けない問題がごろごろと出てきてしまっています	あとでごろごろ掘り返して解き直しましょ
talk: あまり進められてないので焦ってます。	一週間で解く問題数を決めるといいかもね
talk: ちょっと焦ってき[|まし]た。	どんどん解くに尽きる
talk: 進んでいなくて[|かなり]まずい[|です]。	じゃ、いまから3問解こ
talk: 正直とても難しかった。	少しでもいいから理解できると良いね！
talk: レポート問題考えましたが難し[い|かった[|です]]。	友だちにも相談しつつ、できる限り進めよう！
talk: まだなんとかなると信じてます...ちょっとした打ち間違えや問題の読み取りミスが多くて参りました。	何とかなります、一日10問くらい？？
talk: すごく難しくなってきて困ってます。	一通り基本を覚えるためにはここが頑張りどころ！
talk: [|[|チャレンジ問題を授業内で]少しやろうかと思ったのですが]難しくて一度断念。	また明日やってみよ
talk: でも書ける気がしません。	そんなことない！
talk: レポート課題にも挑戦してみようと[思|おも]います!	偉い！その意気です！
talk: 授業の内容が難しくなり焦っています。	焦ってもしょうがないので、こまめに復習しよう！
talk: テストが落ち着いたらレポートにも取り組みます。	とりあえずテスト頑張って！
talk: 果たしてこのコードを理解し[更に|][かける|書ける]ようになる日は来るのか[|と感じ[|まし]た]。	絶対来ます！
talk: どんどん内容が難しくなっていてまた課題の正解数がとても少ないので焦っています。	焦らず正解数を増やしていこう！とりあえず目標を決めてみよう！
talk: [|先週と]今週の講義はとても難しくてまだしっかりと理解でき[|て]ません...。	こまめな復習や演習をお忘れなく！
talk: 難しくほとんど[すすめる|進める]ことができません[|でした]。	友だちと一緒に進めてみたらどうでしょう？
talk: がんばります...どんどん難しくなって進みもとても遅くなってます。	ゆっくりでもいいので進めることが大切です！
talk: 難しかった[|です]。	気のせいです！
talk: 終わりに近づいてきてさらに難しくなった[と思[う|います]]。	終わりなので仕方ない、あと一踏ん張り！
talk: [1時間くらい|]格闘しましたが負け[|まし]た。悔しい[|です]！	明日になったら勝てるかも
talk: [最近|]追いつけていなくて焦って[る|います]。	まず例題や基本問題から進めていこう！焦らなくて大丈夫！

